m_dot,dp [Pa/m],dp [mm H2O/m],d [mm],v [m/s],Re,Var7
0.2,893,91,16.35,0.95,17304,0
0.3,1002,102,18.58,1.11,22844,0
0.4,663,68,22.45,1.01,25204,0
0.5,813,83,23.43,1.16,30194,0
0.5,567,58,25.18,1,28094,0
0.7,452,46,29.86,1,33163,0
0.8,387,39,32.39,0.97,34943,0
0.9,317,32,35.23,0.92,36145,0
1,339,35,36.15,0.97,39138,0
2,206,21,51.79,0.95,54628,1
3,195,20,60.93,1.03,69653,0
4,136,14,73.02,0.96,77494,0
5,55,6,95.18,0.7,74320,0
6,91,9,92.09,0.9,92172,0
7,73,7,101.94,0.86,97149,1
8,79,8,105.58,0.91,107190,0
9,79,8,110.53,0.94,115197,0
10,63,6,120.23,0.88,117663,0
20,56,6,159.66,1,177211,0
30,48,5,192.31,1.03,220687,0
40,47,5,214.95,1.1,263259,0
50,47,5,233.72,1.17,302653,0
60,40,4,258.86,1.14,327912,1
70,40,4,274.79,1.18,360384,0
80,38,4,292.58,1.19,386826,0
90,34,4,311.64,1.18,408557,0
100,33,3,326.04,1.2,433913,0
200,27,3,441.98,1.3,640169,0
300,23,2,531.44,1.35,798606,0
400,20,2,610.78,1.37,926495,0
