m_dot,dp [Pa/m],dp [mm H2O/m],d [mm],v [m/s],Re
0.2,4959,505,13.32,1.44,21245
0.3,3601,367,16.4,1.42,25872
0.4,2793,285,19.12,1.39,29591
0.5,2323,237,21.49,1.38,32909
0.5,2340,239,21.47,1.38,32954
0.7,1802,184,25.53,1.37,38790
0.8,1940,198,26.46,1.45,42775
0.9,1662,169,28.45,1.42,44751
1,1434,146,30.42,1.38,46512
2,935,95,42.67,1.4,66305
3,683,70,52.67,1.38,80575
4,595,61,60.22,1.4,93964
5,499,51,67.69,1.39,104497
6,416,42,75.01,1.36,113160
7,353,36,81.97,1.33,120808
8,304,31,88.69,1.29,127609
9,290,30,93.53,1.31,136135
10,267,27,98.85,1.3,143113
20,160,16,141.5,1.27,199961
30,112,11,176.62,1.22,240297
40,100,10,201.27,1.26,281155
50,94,10,221.4,1.3,319497
60,74,8,248.29,1.24,341871
70,72,7,264.73,1.27,374074
80,64,7,284.46,1.26,397864
90,61,6,300.93,1.27,423100
100,44,4,333.35,1.15,424386
200,41,4,438.3,1.33,645548
300,33,3,535.33,1.33,792807
400,28,3,613.36,1.35,922603
